info,Район,Тип,Тип.объекта,Комнаты,Этаж,Площадь,Площадь.кухни,Жилая.площадь,Цена,Цена.за.м,Материал.здания,cluster,Год.постройки,Кол.во.подьездов,Перекрытия,Стены,Мусоропровод,Отопление,Газ.плита,Этаж_квартиры,Этажность_дома
Октябрьский_Новостройка_2_13/20_49_64898_Панель,Октябрьский,Квартира,Новостройка,2,13/20,49.0,15.0,19.0,3180000,64898,Панель,1.0,,,,,,,,13.0,20.0
Октябрьский_Новостройка_2_14/20_58_62586_Панель,Октябрьский,Квартира,Новостройка,2,14/20,58.0,10.0,31.0,3630000,62586,Панель,1.0,,,,,,,,14.0,20.0
Калининский_Вторичная_1_6/12_37_112973_Панель,Калининский,Квартира,Вторичная,1,6/12,37.0,9.0,19.0,4180000,112973,Панель,2.0,2017.0,5.0,Железобетонные,Панельные,,Центральное,Нет,6.0,12.0
Калининский_Вторичная_2_7/12_60_100000_Панель,Калининский,Квартира,Вторичная,2,7/12,60.0,14.0,31.0,6000000,100000,Панель,2.0,2017.0,5.0,Железобетонные,Панельные,,Центральное,Нет,7.0,12.0
Калининский_Вторичная_2_7/12_65_86154_Панель,Калининский,Квартира,Вторичная,2,7/12,65.0,14.0,30.0,5600000,86154,Панель,2.0,2017.0,5.0,Железобетонные,Панельные,,Центральное,Нет,7.0,12.0
Калининский_Вторичная_2_9/12_60_98333_Панель,Калининский,Квартира,Вторичная,2,9/12,60.0,,14.0,5900000,98333,Панель,2.0,2017.0,5.0,Железобетонные,Панельные,,Центральное,Нет,9.0,12.0
Заельцовский_Новостройка_2_5/25_57.2_97028_Кирпич,Заельцовский,Квартира,Новостройка,2,5/25,57.2,,,5550000,97028,Кирпич,5.0,,,,,,,,5.0,25.0
Заельцовский_Вторичная_Студия_4/22_29_108621_Монолит,Заельцовский,Квартира,Вторичная,Студия,4/22,29.0,4.0,17.0,3150000,108621,Монолит,6.0,2016.0,2.0,Железобетонные,Смешанные,Есть,Центральное,Нет,4.0,22.0
Заельцовский_Новостройка_1_11/25_32.6_139571_Монолит,Заельцовский,Квартира,Новостройка,1,11/25,32.6,,,4550000,139571,Монолит,11.0,,,,,,,,11.0,25.0
Заельцовский_Новостройка_1_11/25_33_137879_Кирпич,Заельцовский,Квартира,Новостройка,1,11/25,33.0,5.0,,4550000,137879,Кирпич,11.0,,,,,,,,11.0,25.0
Заельцовский_Новостройка_1_11/25_36.6_139344_Кирпич,Заельцовский,Квартира,Новостройка,1,11/25,36.6,5.4,20.4,5100000,139344,Кирпич,11.0,,,,,,,,11.0,25.0
Заельцовский_Новостройка_1_11/25_37_137838_Кирпич,Заельцовский,Квартира,Новостройка,1,11/25,37.0,5.0,,5100000,137838,Кирпич,11.0,,,,,,,,11.0,25.0
Заельцовский_Новостройка_1_13/25_45_126444_Кирпич,Заельцовский,Квартира,Новостройка,1,13/25,45.0,16.0,,5690000,126444,Кирпич,11.0,,,,,,,,13.0,25.0
Заельцовский_Новостройка_1_14/25_48_123958_Кирпич,Заельцовский,Квартира,Новостройка,1,14/25,48.0,17.0,,5950000,123958,Кирпич,11.0,,,,,,,,14.0,25.0
Заельцовский_Новостройка_1_2/25_33_131515_Кирпич,Заельцовский,Квартира,Новостройка,1,2/25,33.0,5.0,,4340000,131515,Кирпич,11.0,,,,,,,,2.0,25.0
Заельцовский_Новостройка_1_2/25_36.4_135714_Монолит,Заельцовский,Квартира,Новостройка,1,2/25,36.4,,,4940000,135714,Монолит,11.0,,,,,,,,2.0,25.0
Заельцовский_Новостройка_1_2/25_44.5_124494_Кирпич,Заельцовский,Квартира,Новостройка,1,2/25,44.5,16.4,16.2,5540000,124494,Кирпич,11.0,,,,,,,,2.0,25.0
Заельцовский_Новостройка_1_2/25_47.3_122622_Монолит,Заельцовский,Квартира,Новостройка,1,2/25,47.3,,34.4,5800000,122622,Монолит,11.0,,,,,,,,2.0,25.0
Заельцовский_Новостройка_1_2/25_47.5_122105_Монолит,Заельцовский,Квартира,Новостройка,1,2/25,47.5,17.1,15.9,5800000,122105,Монолит,11.0,,,,,,,,2.0,25.0
Заельцовский_Новостройка_1_3/25_36.4_137088_Монолит,Заельцовский,Квартира,Новостройка,1,3/25,36.4,,20.4,4990000,137088,Монолит,11.0,,,,,,,,3.0,25.0
Заельцовский_Новостройка_1_3/25_48_121875_Кирпич,Заельцовский,Квартира,Новостройка,1,3/25,48.0,17.0,,5850000,121875,Кирпич,11.0,,,,,,,,3.0,25.0
Заельцовский_Новостройка_1_5/25_32.7_134251_Монолит,Заельцовский,Квартира,Новостройка,1,5/25,32.7,,,4390000,134251,Монолит,11.0,,,,,,,,5.0,25.0
Заельцовский_Новостройка_1_5/25_36.6_136339_Кирпич,Заельцовский,Квартира,Новостройка,1,5/25,36.6,5.4,20.4,4990000,136339,Кирпич,11.0,,,,,,,,5.0,25.0
Заельцовский_Новостройка_1_5/25_47.5_123158_Кирпич,Заельцовский,Квартира,Новостройка,1,5/25,47.5,16.5,17.9,5850000,123158,Кирпич,11.0,,,,,,,,5.0,25.0
Заельцовский_Новостройка_1_5/25_47.9_122129_Монолит,Заельцовский,Квартира,Новостройка,1,5/25,47.9,17.1,,5850000,122129,Монолит,11.0,,,,,,,,5.0,25.0
Заельцовский_Новостройка_1_6/25_36.6_136339_Монолит,Заельцовский,Квартира,Новостройка,1,6/25,36.6,,,4990000,136339,Монолит,11.0,,,,,,,,6.0,25.0
Заельцовский_Новостройка_1_6/25_44.7_125056_Монолит,Заельцовский,Квартира,Новостройка,1,6/25,44.7,,,5590000,125056,Монолит,11.0,,,,,,,,6.0,25.0
Заельцовский_Новостройка_1_6/25_47.5_123158_Монолит,Заельцовский,Квартира,Новостройка,1,6/25,47.5,,,5850000,123158,Монолит,11.0,,,,,,,,6.0,25.0
Заельцовский_Новостройка_2_11/25_56_117679_Кирпич,Заельцовский,Квартира,Новостройка,2,11/25,56.0,5.0,,6590000,117679,Кирпич,11.0,,,,,,,,11.0,25.0
Заельцовский_Новостройка_2_11/25_65.2_106595_Кирпич,Заельцовский,Квартира,Новостройка,2,11/25,65.2,15.5,29.8,6950000,106595,Кирпич,11.0,,,,,,,,11.0,25.0
Заельцовский_Новостройка_2_16/25_66_105303_Кирпич,Заельцовский,Квартира,Новостройка,2,16/25,66.0,16.0,,6950000,105303,Кирпич,11.0,,,,,,,,16.0,25.0
Заельцовский_Новостройка_2_2/25_46.9_123667_Монолит,Заельцовский,Квартира,Новостройка,2,2/25,46.9,,34.7,5800000,123667,Монолит,11.0,,,,,,,,2.0,25.0
Заельцовский_Новостройка_2_2/25_53.9_115955_Кирпич,Заельцовский,Квартира,Новостройка,2,2/25,53.9,5.6,34.4,6250000,115955,Кирпич,11.0,,,,,,,,2.0,25.0
Заельцовский_Новостройка_2_2/25_54.5_116514_Монолит,Заельцовский,Квартира,Новостройка,2,2/25,54.5,,34.3,6350000,116514,Монолит,11.0,,,,,,,,2.0,25.0
Заельцовский_Новостройка_2_2/25_55.5_116216_Монолит,Заельцовский,Квартира,Новостройка,2,2/25,55.5,,34.3,6450000,116216,Монолит,11.0,,,,,,,,2.0,25.0
Заельцовский_Новостройка_2_2/25_65.6_103659_Монолит,Заельцовский,Квартира,Новостройка,2,2/25,65.6,,,6800000,103659,Монолит,11.0,,,,,,,,2.0,25.0
Заельцовский_Новостройка_2_25/25_47_129787_Кирпич,Заельцовский,Квартира,Новостройка,2,25/25,47.0,,,6100000,129787,Кирпич,11.0,,,,,,,,25.0,25.0
Заельцовский_Новостройка_2_5/25_47_124468_Монолит,Заельцовский,Квартира,Новостройка,2,5/25,47.0,18.1,,5850000,124468,Монолит,11.0,,,,,,,,5.0,25.0
Заельцовский_Новостройка_2_5/25_54.8_116606_Монолит,Заельцовский,Квартира,Новостройка,2,5/25,54.8,,,6390000,116606,Монолит,11.0,,,,,,,,5.0,25.0
Заельцовский_Новостройка_2_5/25_55.7_116517_Монолит,Заельцовский,Квартира,Новостройка,2,5/25,55.7,,,6490000,116517,Монолит,11.0,,,,,,,,5.0,25.0
Заельцовский_Новостройка_2_5/25_65.8_104711_Монолит,Заельцовский,Квартира,Новостройка,2,5/25,65.8,15.5,,6890000,104711,Монолит,11.0,,,,,,,,5.0,25.0
Заельцовский_Новостройка_2_6/25_54.1_116266_Монолит,Заельцовский,Квартира,Новостройка,2,6/25,54.1,,,6290000,116266,Монолит,11.0,,,,,,,,6.0,25.0
Заельцовский_Новостройка_2_6/25_54.1_116266_Монолит,Заельцовский,Квартира,Новостройка,2,6/25,54.1,25.6,,6290000,116266,Монолит,11.0,,,,,,,,6.0,25.0
Заельцовский_Новостройка_2_6/25_56_114107_Кирпич,Заельцовский,Квартира,Новостройка,2,6/25,56.0,5.0,,6390000,114107,Кирпич,11.0,,,,,,,,6.0,25.0
Заельцовский_Новостройка_2_6/25_72.6_105372_Кирпич,Заельцовский,Квартира,Новостройка,2,6/25,72.6,6.0,48.2,7650000,105372,Кирпич,11.0,,,,,,,,6.0,25.0
Заельцовский_Новостройка_2_7/25_56_114107_Кирпич,Заельцовский,Квартира,Новостройка,2,7/25,56.0,5.0,,6390000,114107,Кирпич,11.0,,,,,,,,7.0,25.0
Заельцовский_Новостройка_2_7/25_65.7_104871_Кирпич,Заельцовский,Квартира,Новостройка,2,7/25,65.7,15.5,30.0,6890000,104871,Кирпич,11.0,,,,,,,,7.0,25.0
Заельцовский_Новостройка_2_7/25_65.8_104711_Кирпич,Заельцовский,Квартира,Новостройка,2,7/25,65.8,15.5,30.0,6890000,104711,Кирпич,11.0,,,,,,,,7.0,25.0
Заельцовский_Новостройка_2_8/25_55.7_116517_Кирпич,Заельцовский,Квартира,Новостройка,2,8/25,55.7,5.3,34.3,6490000,116517,Кирпич,11.0,,,,,,,,8.0,25.0
Заельцовский_Новостройка_3_12/25_72.7_107153_Кирпич,Заельцовский,Квартира,Новостройка,3,12/25,72.7,14.5,48.2,7790000,107153,Кирпич,11.0,,,,,,,,12.0,25.0
Заельцовский_Новостройка_3_13/25_72.2_107895_Кирпич,Заельцовский,Квартира,Новостройка,3,13/25,72.2,5.7,48.2,7790000,107895,Кирпич,11.0,,,,,,,,13.0,25.0
Заельцовский_Новостройка_3_2/25_72.6_99036_Монолит,Заельцовский,Квартира,Новостройка,3,2/25,72.6,,48.2,7190000,99036,Монолит,11.0,,,,,,,,2.0,25.0
Заельцовский_Новостройка_3_3/25_72.6_99862_Монолит,Заельцовский,Квартира,Новостройка,3,3/25,72.6,,,7250000,99862,Монолит,11.0,,,,,,,,3.0,25.0
Заельцовский_Новостройка_3_6/25_72.7_105227_Монолит,Заельцовский,Квартира,Новостройка,3,6/25,72.7,26.5,,7650000,105227,Монолит,11.0,,,,,,,,6.0,25.0
Заельцовский_Новостройка_3_6/25_72.9_99451_Монолит,Заельцовский,Квартира,Новостройка,3,6/25,72.9,,,7250000,99451,Монолит,11.0,,,,,,,,6.0,25.0
Заельцовский_Новостройка_3_6/25_72_106250_Кирпич,Заельцовский,Квартира,Новостройка,3,6/25,72.0,6.0,42.0,7650000,106250,Кирпич,11.0,,,,,,,,6.0,25.0
Заельцовский_Новостройка_3_8/25_96.8_90806_Монолит,Заельцовский,Квартира,Новостройка,3,8/25,96.8,,18.6,8790000,90806,Монолит,11.0,,,,,,,,8.0,25.0
Заельцовский_Новостройка_3_9/25_72.8_99588_Монолит,Заельцовский,Квартира,Новостройка,3,9/25,72.8,,,7250000,99588,Монолит,11.0,,,,,,,,9.0,25.0
Заельцовский_Новостройка_4_11/25_96.6_89545_Монолит,Заельцовский,Квартира,Новостройка,4,11/25,96.6,,,8650000,89545,Монолит,11.0,,,,,,,,11.0,25.0
Заельцовский_Новостройка_4_14/25_96.6_90994_Монолит,Заельцовский,Квартира,Новостройка,4,14/25,96.6,,,8790000,90994,Монолит,11.0,,,,,,,,14.0,25.0
Заельцовский_Новостройка_4_2/25_96.6_87888_Монолит,Заельцовский,Квартира,Новостройка,4,2/25,96.6,,,8490000,87888,Монолит,11.0,,,,,,,,2.0,25.0
Заельцовский_Новостройка_4_21/25_96.2_87838_Кирпич,Заельцовский,Квартира,Новостройка,4,21/25,96.2,24.6,43.1,8450000,87838,Кирпич,11.0,,,,,,,,21.0,25.0
Заельцовский_Новостройка_4_3/25_96.6_89545_Монолит,Заельцовский,Квартира,Новостройка,4,3/25,96.6,,,8650000,89545,Монолит,11.0,,,,,,,,3.0,25.0
Заельцовский_Новостройка_4_6/25_96.7_85315_Монолит,Заельцовский,Квартира,Новостройка,4,6/25,96.7,24.6,,8250000,85315,Монолит,11.0,,,,,,,,6.0,25.0
Заельцовский_Новостройка_4_6/25_96.8_85227_Кирпич,Заельцовский,Квартира,Новостройка,4,6/25,96.8,24.6,43.0,8250000,85227,Кирпич,11.0,,,,,,,,6.0,25.0
Заельцовский_Новостройка_4_6/25_96.8_85227_Кирпич,Заельцовский,Квартира,Новостройка,4,6/25,96.8,6.0,61.7,8250000,85227,Кирпич,11.0,,,,,,,,6.0,25.0
Заельцовский_Новостройка_4_6/25_96.8_89360_Монолит,Заельцовский,Квартира,Новостройка,4,6/25,96.8,,,8650000,89360,Монолит,11.0,,,,,,,,6.0,25.0
Заельцовский_Новостройка_4_6/25_97_85052_Кирпич,Заельцовский,Квартира,Новостройка,4,6/25,97.0,6.0,,8250000,85052,Кирпич,11.0,,,,,,,,6.0,25.0
Заельцовский_Новостройка_4_8/25_96.8_89360_Монолит,Заельцовский,Квартира,Новостройка,4,8/25,96.8,,,8650000,89360,Монолит,11.0,,,,,,,,8.0,25.0
Заельцовский_Новостройка_Студия_11/25_32.7_139144_Кирпич,Заельцовский,Квартира,Новостройка,Студия,11/25,32.7,5.0,17.0,4550000,139144,Кирпич,11.0,,,,,,,,11.0,25.0
Заельцовский_Новостройка_Студия_2/25_32.5_133538_Кирпич,Заельцовский,Квартира,Новостройка,Студия,2/25,32.5,5.2,16.7,4340000,133538,Кирпич,11.0,,,,,,,,2.0,25.0
Заельцовский_Новостройка_Студия_2/25_32.5_135077_Монолит,Заельцовский,Квартира,Новостройка,Студия,2/25,32.5,5.2,16.7,4390000,135077,Монолит,11.0,,,,,,,,2.0,25.0
Заельцовский_Новостройка_Студия_23/25_32.3_142415_Монолит,Заельцовский,Квартира,Новостройка,Студия,23/25,32.3,,16.4,4600000,142415,Монолит,11.0,,,,,,,,23.0,25.0
Заельцовский_Новостройка_Студия_23/25_36.3_146006_Монолит,Заельцовский,Квартира,Новостройка,Студия,23/25,36.3,,20.2,5300000,146006,Монолит,11.0,,,,,,,,23.0,25.0
Ленинский_Вторичная_1_10/17_36.1_96676_Панель,Ленинский,Квартира,Вторичная,1,10/17,36.1,8.2,17.8,3490000,96676,Панель,12.0,,,,,,,,10.0,17.0
Ленинский_Вторичная_1_11/17_29_110345_Панель,Ленинский,Квартира,Вторичная,1,11/17,29.0,8.0,10.0,3200000,110345,Панель,12.0,,,,,,,,11.0,17.0
Ленинский_Вторичная_1_11/17_36_97222_Панель,Ленинский,Квартира,Вторичная,1,11/17,36.0,9.0,,3500000,97222,Панель,12.0,,,,,,,,11.0,17.0
Ленинский_Вторичная_1_12/17_29_112069_Панель,Ленинский,Квартира,Вторичная,1,12/17,29.0,9.0,10.0,3250000,112069,Панель,12.0,,,,,,,,12.0,17.0
Ленинский_Вторичная_1_13/17_29_106897_Кирпич,Ленинский,Квартира,Вторичная,1,13/17,29.0,8.6,11.0,3100000,106897,Кирпич,12.0,,,,,,,,13.0,17.0
Ленинский_Вторичная_1_13/17_34.2_105263_Панель,Ленинский,Квартира,Вторичная,1,13/17,34.2,8.2,,3600000,105263,Панель,12.0,,,,,,,,13.0,17.0
Ленинский_Вторичная_1_13/17_36_97222_Монолит,Ленинский,Квартира,Вторичная,1,13/17,36.0,8.0,17.0,3500000,97222,Монолит,12.0,,,,,,,,13.0,17.0
Ленинский_Вторичная_1_14/17_34.7_101297_Панель,Ленинский,Квартира,Вторичная,1,14/17,34.7,8.2,17.8,3515000,101297,Панель,12.0,,,,,,,,14.0,17.0
Ленинский_Вторичная_1_14/17_34_103529_Панель,Ленинский,Квартира,Вторичная,1,14/17,34.0,8.2,17.8,3520000,103529,Панель,12.0,,,,,,,,14.0,17.0
Ленинский_Вторичная_1_15/17_25_120000_Панель,Ленинский,Квартира,Вторичная,1,15/17,25.0,3.0,17.0,3000000,120000,Панель,12.0,,,,,,,,15.0,17.0
Ленинский_Вторичная_1_16/17_34.7_103746_Панель,Ленинский,Квартира,Вторичная,1,16/17,34.7,8.2,,3600000,103746,Панель,12.0,,,,,,,,16.0,17.0
Ленинский_Вторичная_1_17/17_28_102500_Панель,Ленинский,Квартира,Вторичная,1,17/17,28.0,8.6,11.0,2870000,102500,Панель,12.0,,,,,,,,17.0,17.0
Ленинский_Вторичная_1_2/17_34.7_100865_Панель,Ленинский,Квартира,Вторичная,1,2/17,34.7,,,3500000,100865,Панель,12.0,,,,,,,,2.0,17.0
Ленинский_Вторичная_1_2/17_36.3_96419_Панель,Ленинский,Квартира,Вторичная,1,2/17,36.3,8.0,,3500000,96419,Панель,12.0,,,,,,,,2.0,17.0
Ленинский_Вторичная_1_3/17_29.1_109966_Панель,Ленинский,Квартира,Вторичная,1,3/17,29.1,9.0,10.0,3200000,109966,Панель,12.0,,,,,,,,3.0,17.0
Ленинский_Вторичная_1_3/17_36_91667_Панель,Ленинский,Квартира,Вторичная,1,3/17,36.0,8.0,17.0,3300000,91667,Панель,12.0,,,,,,,,3.0,17.0
Ленинский_Вторичная_1_4/17_35_104286_Панель,Ленинский,Квартира,Вторичная,1,4/17,35.0,8.0,18.0,3650000,104286,Панель,12.0,,,,,,,,4.0,17.0
Ленинский_Вторичная_1_5/17_27.6_114130_Панель,Ленинский,Квартира,Вторичная,1,5/17,27.6,6.0,,3150000,114130,Панель,12.0,,,,,,,,5.0,17.0
Ленинский_Вторичная_1_5/17_30_106667_Монолит,Ленинский,Квартира,Вторичная,1,5/17,30.0,8.0,16.0,3200000,106667,Монолит,12.0,,,,,,,,5.0,17.0
Ленинский_Вторичная_1_6/17_34_105882_Панель,Ленинский,Квартира,Вторичная,1,6/17,34.0,8.0,17.0,3600000,105882,Панель,12.0,,,,,,,,6.0,17.0
Ленинский_Вторичная_1_6/17_35_104286_Монолит,Ленинский,Квартира,Вторичная,1,6/17,35.0,8.0,17.0,3650000,104286,Монолит,12.0,,,,,,,,6.0,17.0
Ленинский_Вторичная_1_7/17_35_111429_Монолит,Ленинский,Квартира,Вторичная,1,7/17,35.0,9.0,18.0,3900000,111429,Монолит,12.0,,,,,,,,7.0,17.0
Ленинский_Вторичная_1_7/17_41_95122_Панель,Ленинский,Квартира,Вторичная,1,7/17,41.0,12.0,17.0,3900000,95122,Панель,12.0,,,,,,,,7.0,17.0
Ленинский_Вторичная_1_9/17_25.8_110853_Кирпич,Ленинский,Квартира,Вторичная,1,9/17,25.8,,22.0,2860000,110853,Кирпич,12.0,,,,,,,,9.0,17.0
Ленинский_Вторичная_1_9/17_36_103333_Панель,Ленинский,Квартира,Вторичная,1,9/17,36.0,8.2,17.8,3720000,103333,Панель,12.0,,,,,,,,9.0,17.0
Ленинский_Вторичная_2_5/17_52_94231_Панель,Ленинский,Квартира,Вторичная,2,5/17,52.0,8.0,31.0,4900000,94231,Панель,12.0,,,,,,,,5.0,17.0
Ленинский_Вторичная_Студия_1/17_26_108846_Панель,Ленинский,Квартира,Вторичная,Студия,1/17,26.0,,,2830000,108846,Панель,12.0,,,,,,,,1.0,17.0
Ленинский_Вторичная_Студия_10/17_26_106923_Панель,Ленинский,Квартира,Вторичная,Студия,10/17,26.0,5.0,14.0,2780000,106923,Панель,12.0,,,,,,,,10.0,17.0
Ленинский_Вторичная_Студия_14/17_26_111538_Панель,Ленинский,Квартира,Вторичная,Студия,14/17,26.0,5.0,,2900000,111538,Панель,12.0,,,,,,,,14.0,17.0
Ленинский_Вторичная_Студия_5/17_28.9_114187_Панель,Ленинский,Квартира,Вторичная,Студия,5/17,28.9,8.6,10.3,3300000,114187,Панель,12.0,,,,,,,,5.0,17.0
Ленинский_Вторичная_Студия_7/17_27_118148_Панель,Ленинский,Квартира,Вторичная,Студия,7/17,27.0,8.2,10.3,3190000,118148,Панель,12.0,,,,,,,,7.0,17.0
Дзержинский_Вторичная_1_9/10_45_107778_Кирпич,Дзержинский,Квартира,Вторичная,1,9/10,45.0,13.0,23.0,4850000,107778,Кирпич,13.0,2019.0,2.0,Железобетонные,Кирпич,Есть,Центральное,Да,9.0,10.0
Дзержинский_Вторичная_2_9/10_45_108889_Кирпич,Дзержинский,Квартира,Вторичная,2,9/10,45.0,23.0,13.0,4900000,108889,Кирпич,13.0,2019.0,2.0,Железобетонные,Кирпич,Есть,Центральное,Да,9.0,10.0
Дзержинский_Вторичная_1_2/9_30_90000_Кирпич,Дзержинский,Квартира,Вторичная,1,2/9,30.0,6.0,16.0,2700000,90000,Кирпич,14.0,1976.0,1.0,Железобетонные,Кирпич,Есть,Центральное,Нет,2.0,9.0
Дзержинский_Вторичная_2_3/9_46_83696_Кирпич,Дзержинский,Квартира,Вторичная,2,3/9,46.0,4.3,27.0,3850000,83696,Кирпич,14.0,1976.0,1.0,Железобетонные,Кирпич,Есть,Центральное,Нет,3.0,9.0
Дзержинский_Вторичная_2_9/9_41.2_97087_Кирпич,Дзержинский,Квартира,Вторичная,2,9/9,41.2,5.0,28.0,4000000,97087,Кирпич,14.0,1976.0,1.0,Железобетонные,Кирпич,Есть,Центральное,Нет,9.0,9.0
Дзержинский_Новостройка_1_2/20_30_140000_Монолит,Дзержинский,Квартира,Новостройка,1,2/20,30.0,4.0,16.6,4200000,140000,Монолит,16.0,,,,,,,,2.0,20.0
Дзержинский_Новостройка_1_2/20_42.9_127040_Кирпич,Дзержинский,Квартира,Новостройка,1,2/20,42.9,19.2,13.0,5450000,127040,Кирпич,16.0,,,,,,,,2.0,20.0
Дзержинский_Новостройка_1_3/20_27.3_144689_Монолит,Дзержинский,Квартира,Новостройка,1,3/20,27.3,4.0,15.2,3950000,144689,Монолит,16.0,,,,,,,,3.0,20.0
Дзержинский_Новостройка_1_5/20_42.9_127040_Кирпич,Дзержинский,Квартира,Новостройка,1,5/20,42.9,,,5450000,127040,Кирпич,16.0,,,,,,,,5.0,20.0
Дзержинский_Новостройка_1_6/20_25.4_129921_Монолит,Дзержинский,Квартира,Новостройка,1,6/20,25.4,3.2,14.2,3300000,129921,Монолит,16.0,,,,,,,,6.0,20.0
Дзержинский_Новостройка_1_6/20_25_132000_Монолит,Дзержинский,Квартира,Новостройка,1,6/20,25.0,4.0,15.0,3300000,132000,Монолит,16.0,,,,,,,,6.0,20.0
Дзержинский_Новостройка_2_2/20_42.6_127934_Монолит,Дзержинский,Квартира,Новостройка,2,2/20,42.6,4.5,27.7,5450000,127934,Монолит,16.0,,,,,,,,2.0,20.0
Дзержинский_Новостройка_2_3/20_51.1_123288_Монолит,Дзержинский,Квартира,Новостройка,2,3/20,51.1,8.6,28.4,6300000,123288,Монолит,16.0,,,,,,,,3.0,20.0
Дзержинский_Новостройка_2_3/20_54.8_121350_Монолит,Дзержинский,Квартира,Новостройка,2,3/20,54.8,12.5,27.8,6650000,121350,Монолит,16.0,,,,,,,,3.0,20.0
Дзержинский_Новостройка_2_4/20_42.9_113054_Кирпич,Дзержинский,Квартира,Новостройка,2,4/20,42.9,4.5,27.7,4850000,113054,Кирпич,16.0,,,,,,,,4.0,20.0
Дзержинский_Новостройка_2_8/20_52_121154_Кирпич,Дзержинский,Квартира,Новостройка,2,8/20,52.0,9.0,28.4,6300000,121154,Кирпич,16.0,,,,,,,,8.0,20.0
Дзержинский_Новостройка_3_2/20_66.2_109517_Кирпич,Дзержинский,Квартира,Новостройка,3,2/20,66.2,,,7250000,109517,Кирпич,16.0,,,,,,,,2.0,20.0
Дзержинский_Новостройка_3_4/20_61.7_108590_Кирпич,Дзержинский,Квартира,Новостройка,3,4/20,61.7,6.0,38.0,6700000,108590,Кирпич,16.0,,,,,,,,4.0,20.0
Дзержинский_Новостройка_3_6/20_61.7_108590_Кирпич,Дзержинский,Квартира,Новостройка,3,6/20,61.7,6.0,38.0,6700000,108590,Кирпич,16.0,,,,,,,,6.0,20.0
Дзержинский_Новостройка_3_7/20_61.5_108943_Монолит,Дзержинский,Квартира,Новостройка,3,7/20,61.5,6.0,38.0,6700000,108943,Монолит,16.0,,,,,,,,7.0,20.0
Дзержинский_Новостройка_Студия_10/20_25.4_129921_Кирпич,Дзержинский,Квартира,Новостройка,Студия,10/20,25.4,,,3300000,129921,Кирпич,16.0,,,,,,,,10.0,20.0
Дзержинский_Новостройка_Студия_7/20_24.5_134694_Кирпич,Дзержинский,Квартира,Новостройка,Студия,7/20,24.5,3.5,14.2,3300000,134694,Кирпич,16.0,,,,,,,,7.0,20.0
Октябрьский_Вторичная_1_12/16_31.7_123450_Кирпич,Октябрьский,Квартира,Вторичная,1,12/16,31.7,,31.0,3913365,123450,Кирпич,17.0,,,,,,,,12.0,16.0
Октябрьский_Вторичная_1_13/16_42.4_117676_Кирпич,Октябрьский,Квартира,Вторичная,1,13/16,42.4,18.0,12.0,4989450,117676,Кирпич,17.0,,,,,,,,13.0,16.0
Октябрьский_Вторичная_1_13/16_42_118796_Кирпич,Октябрьский,Квартира,Вторичная,1,13/16,42.0,,,4989450,118796,Кирпич,17.0,,,,,,,,13.0,16.0
Октябрьский_Вторичная_1_15/16_73_102000_Кирпич,Октябрьский,Квартира,Вторичная,1,15/16,73.0,,72.0,7446000,102000,Кирпич,17.0,,,,,,,,15.0,16.0
Октябрьский_Вторичная_1_16/16_59.2_113300_Кирпич,Октябрьский,Квартира,Вторичная,1,16/16,59.2,,59.0,6707360,113300,Кирпич,17.0,,,,,,,,16.0,16.0
Октябрьский_Вторичная_2_13/16_42.4_117676_Кирпич,Октябрьский,Квартира,Вторичная,2,13/16,42.4,3.8,25.9,4989450,117676,Кирпич,17.0,,,,,,,,13.0,16.0
Октябрьский_Вторичная_2_2/16_45.6_143640_Кирпич,Октябрьский,Квартира,Вторичная,2,2/16,45.6,18.0,12.0,6550000,143640,Кирпич,17.0,,,,,,,,2.0,16.0
Октябрьский_Вторичная_3_1/16_70_111429_Монолит,Октябрьский,Квартира,Вторичная,3,1/16,70.0,15.0,,7800000,111429,Монолит,17.0,,,,,,,,1.0,16.0
Октябрьский_Вторичная_3_16/16_71_122376_Кирпич,Октябрьский,Квартира,Вторичная,3,16/16,71.0,,,8688680,122376,Кирпич,17.0,,,,,,,,16.0,16.0
Октябрьский_Вторичная_3_16/16_74_94595_Монолит,Октябрьский,Квартира,Вторичная,3,16/16,74.0,10.0,,7000000,94595,Монолит,17.0,,,,,,,,16.0,16.0
Октябрьский_Вторичная_Студия_13/16_30_129623_Кирпич,Октябрьский,Квартира,Вторичная,Студия,13/16,30.0,,,3888675,129623,Кирпич,17.0,,,,,,,,13.0,16.0
Октябрьский_Вторичная_Студия_2/16_70.1_99178_Кирпич,Октябрьский,Квартира,Вторичная,Студия,2/16,70.1,5.1,47.0,6952360,99178,Кирпич,17.0,,,,,,,,2.0,16.0
Кировский_Новостройка_1_10/17_45_68000_Панель,Кировский,Квартира,Новостройка,1,10/17,45.0,12.9,18.0,3060000,68000,Панель,18.0,,,,,,,,10.0,17.0
Кировский_Новостройка_1_15/17_42_69048_Панель,Кировский,Квартира,Новостройка,1,15/17,42.0,8.8,18.3,2900000,69048,Панель,18.0,,,,,,,,15.0,17.0
Кировский_Новостройка_1_3/17_42_67857_Панель,Кировский,Квартира,Новостройка,1,3/17,42.0,8.8,18.3,2850000,67857,Панель,18.0,,,,,,,,3.0,17.0
